Siruta,Localitate,Judet,Populatie
1017,Municipiul Alba Iulia,ab,74283
1071,Ciugud,ab,2983
1151,Oras Abrud,ab,5513
1213,Municipiul Aiud,ab,26318
1348,Municipiul Blaj,ab,20994
1455,Oras Campeni,ab,7629
1696,Oras Cugir,ab,26768
1794,Oras Ocna Mures,ab,14641
1874,Municipiul Sebes,ab,32552
1936,Oras Zlatna,ab,7974
2130,Albac,ab,2126
2309,Almasu Mare,ab,1287
2381,Arieseni,ab,1722
2577,Avram Iancu,ab,1560
2915,Oras Baia De Aries,ab,4076
2988,Berghin,ab,2057
3039,Bistra,ab,4839
3397,Blandiana,ab,948
3459,Bucium,ab,1530
3761,Cenade,ab,983
3805,Cergau,ab,1628
3841,Ceru-Bacainti,ab,257
3958,Cetatea De Balta,ab,3175
4008,Ciuruleasa,ab,1198
4106,Calnic,ab,1880
4142,Cricau,ab,2112
4188,Craciunelu De Jos,ab,2148
4240,Daia Romana,ab,3150
4268,Dostat,ab,999
4302,Farau,ab,1623
4366,Galda De Jos,ab,4408
4482,Garbova,ab,2119
4525,Garda De Sus,ab,1696
4703,Hoparta,ab,1197
4767,Horea,ab,2102
4927,Ighiu,ab,6867
4981,Intregalde,ab,627
5103,Jidvei,ab,5309
5167,Livezile,ab,1271
5210,Lopadea Noua,ab,2716
5309,Lunca Muresului,ab,2550
5336,Lupsa,ab,3174
5577,Metes,ab,2833
5700,Mihalt,ab,3279
5755,Miraslau,ab,2122
5826,Mogos,ab,812
6048,Noslac,ab,1817
6119,Ocolis,ab,590
6164,Ohaba,ab,675
6217,Pianu,ab,3611
6271,Poiana Vadului,ab,1110
6397,Ponor,ab,576
6468,Posaga,ab,1065
6547,Radesti,ab,1327
6592,Rametea,ab,1051
6627,Ramet,ab,542
6761,Rosia Montana,ab,2871
6930,Rosia De Secas,ab,1601
6976,Salciua,ab,1549
7044,Salistea,ab,2354
7099,Sasciori,ab,6419
7197,Scarisoara,ab,1682
7348,Sancel,ab,2703
7384,Santimbru,ab,3019
7446,Sohodol,ab,1797
7767,Stremt,ab,2479
7810,Sibot,ab,2464
7865,Sona,ab,4433
7945,Spring,ab,2591
8014,Sugag,ab,2913
8096,Oras Teius,ab,7519
8158,Unirea,ab,5071
8229,Vadu Motilor,ab,1375
8354,Valea Lunga,ab,3138
8425,Vidra,ab,1658
8826,Vintu De Jos,ab,5475
9019,Cut,ab,1269
9026,Bucerdea Granoasa,ab,2406
9262,Municipiul Arad,ar,179155
9280,Fantanele,ar,3712
9333,Livada,ar,3474
9360,Sofronea,ar,2751
9397,Vladimirescu,ar,12982
9459,Oras Chisineu-Cris,ar,8437
9495,Oras Curtici,ar,8716
9538,Oras Ineu,ar,9581
9574,Oras Lipova,ar,11396
9627,Oras Nadlac,ar,8002
9654,Oras Pancota,ar,8126
9690,Oras Sebis,ar,6445
9743,Almas,ar,2625
9798,Apateu,ar,3431
9832,Archis,ar,1545
9887,Bata,ar,1059
9930,Beliu,ar,3025
10006,Birchis,ar,1889
10051,Barsa,ar,1834
10104,Barzava,ar,2543
10195,Bocsig,ar,3396
10239,Brazii,ar,1226
10293,Buteni,ar,3407
10346,Carand,ar,1160
10373,Cermei,ar,2740
10417,Chisindia,ar,1317
10453,Conop,ar,2280
10514,Covasint,ar,2721
10532,Craiva,ar,2897
10649,Dezna,ar,1206
10701,Dieci,ar,1490
10765,Ususau,ar,1420
10827,Felnac,ar,3143
10872,Ghioroc,ar,4084
10916,Graniceri,ar,2545
10943,Gurahont,ar,3900
11058,Halmagiu,ar,2766
11174,Halmagel,ar,1226
11236,Hasmas,ar,1269
11307,Ignesti,ar,721
11352,Iratosu,ar,2557
11398,Macea,ar,7166
11423,Misca,ar,3787
11478,Moneasa,ar,920
11502,Olari,ar,2006
11539,Paulis,ar,4340
11584,Oras Pecica,ar,14124
11637,Peregu Mare,ar,1807
11664,Petris,ar,1382
11735,Pilu,ar,2183
11762,Plescuta,ar,1161
11842,Savarsin,ar,2925
11940,Secusigiu,ar,6216
11995,Seleus,ar,2987
12037,Semlac,ar,4236
12055,Sintea Mare,ar,3844
12091,Oras Santana,ar,15636
12126,Socodor,ar,2277
12144,Sagu,ar,4159
12206,Seitin,ar,3091
12224,Sepreus,ar,2907
12242,Sicula,ar,4277
12288,Silindia,ar,875
12340,Simand,ar,4433
12368,Siria,ar,9083
12402,Sistarovat,ar,319
12457,Taut,ar,1665
12509,Tarnova,ar,6203
12572,Varadia De Mures,ar,1685
12643,Vinga,ar,6866
12689,Varfurile,ar,2681
12778,Zabrani,ar,4607
12812,Zarand,ar,2745
12849,Zerind,ar,1443
12876,Zimandu Nou,ar,4900
12912,Dorobanti,ar,1609
12920,Frumuseni,ar,2765
12938,Zadareni,ar,2838
13169,Municipiul Pitesti,ag,176803
13187,Bascov,ag,10523
13276,Bradu,ag,7714
13301,Oras Mioveni,ag,34559
13365,Maracineni,ag,5250
13392,Oras Stefanesti,ag,15238
13490,Municipiul Campulung,ag,36955
13524,Valea Mare Pravat,ag,4278
13622,Municipiul Curtea De Arges,ag,33439
13668,Oras Costesti,ag,10642
13757,Oras Topoloveni,ag,9439
13819,Albestii De Arges,ag,6057
13891,Albestii De Muscel,ag,1574
13935,Albota,ag,3929
13999,Aninoasa,ag,3350
14049,Arefu,ag,2464
14085,Babana,ag,2899
14165,Baiculesti,ag,6110
14272,Balilesti,ag,4073
14352,Beleti-Negresti,ag,1878
14405,Berevoesti,ag,3509
14450,Barla,ag,4629
14584,Bogati,ag,4499
14673,Boteni,ag,2429
14726,Botesti,ag,1134
14753,Bradulet,ag,1816
14851,Budeasa,ag,4128
14922,Bughea De Jos,ag,3083
14940,Buzoesti,ag,5655
15064,Caldararu,ag,2367
15108,Calinesti,ag,11159
15233,Cateasca,ag,3723
15313,Cepari,ag,2236
15402,Cetateni,ag,3008
15448,Cicanesti,ag,2104
15493,Ciofrangeni,ag,2349
15554,Ciomagesti,ag,1147
15652,Cocu,ag,2319
15741,Corbeni,ag,5880
15830,Corbi,ag,4095
15901,Cosesti,ag,5283
15983,Cotmeana,ag,1910
16132,Cuca,ag,2102
16285,Davidesti,ag,3110
16329,Dambovicioara,ag,925
16365,Darmanesti,ag,3552
16427,Dobresti,ag,1783
16454,Domnesti,ag,3156
16472,Dragoslavele,ag,2628
16506,Draganu,ag,1955
16551,Godeni,ag,3004
16613,Harsesti,ag,2286
16659,Hartiesti,ag,2290
16739,Izvoru,ag,2199
16757,Leordeni,ag,5707
16908,Leresti,ag,4640
16944,Lunca Corbului,ag,2702
17049,Malureni,ag,4686
17101,Merisani,ag,4643
17209,Micesti,ag,4624
17254,Mihaesti,ag,6126
17334,Mioarele,ag,1601
17398,Mirosi,ag,2368
17423,Moraresti,ag,1857
17496,Mosoaia,ag,5709
17575,Mozaceni,ag,2142
17619,Musatesti,ag,3684
17726,Negrasi,ag,2047
17771,Nucsoara,ag,1446
17824,Oarja,ag,2835
17851,Pietrosani,ag,5670
17913,Poienarii De Arges,ag,999
17968,Poienarii De Muscel,ag,3411
18028,Poiana Lacului,ag,6515
18162,Popesti,ag,2014
18242,Priboieni,ag,3532
18331,Ratesti,ag,3064
18411,Recea,ag,2769
18475,Rociu,ag,2504
18527,Rucar,ag,6048
18554,Salatrucu,ag,2227
18581,Sapata,ag,1626
18670,Schitu Golesti,ag,5075
18741,Slobozia,ag,4773
18778,Stalpeni,ag,5024
18858,Stoenesti,ag,4580
18938,Stolnici,ag,3066
19007,Suseni,ag,3067
19114,Stefan Cel Mare,ag,2365
19141,Suici,ag,2451
19212,Teiu,ag,1357
19249,Tigveni,ag,3495
19338,Titesti,ag,5129
19392,Uda,ag,1960
19560,Ungheni,ag,2800
19631,Valea Danului,ag,3020
19695,Valea Iasului,ag,2769
19793,Vedea,ag,3612
19999,Vladesti,ag,3223
20048,Raca,ag,1128
20055,Vulturesti,ag,2812
20063,Bughea De Sus,ag,3002
20297,Municipiul Bacau,bc,197362
20313,Hemeius,bc,5512
20359,Letea Veche,bc,6903
20411,Magura,bc,5105
20466,Margineni,bc,9863
20563,Municipiul Onesti,bc,52639
20607,Gura Vaii,bc,5286
20670,Stefan Cel Mare,bc,5257
20778,Oras Buhusi,bc,20838
20821,Oras Comanesti,bc,24059
20876,Municipiul Moinesti,bc,24715
20910,Oras Slanic-Moldova,bc,5169
20965,Oras Targu Ocna,bc,13134
21007,Agas,bc,6236
21098,Ardeoani,bc,2493
21123,Asau,bc,7154
21196,Balcani,bc,8127
21249,Beresti-Bistrita,bc,2246
21338,Beresti-Tazlau,bc,5740
21418,Berzunti,bc,5378
21454,Barsanesti,bc,4838
21506,Blagesti,bc,7649
21560,Bogdanesti,bc,2870
21597,Brusturoasa,bc,3510
21668,Buhoci,bc,5167
21720,Casin,bc,3970
21757,Caiuti,bc,5420
21855,Cleja,bc,7187
21891,Colonesti,bc,2305
21971,Corbasca,bc,5583
22059,Cotofanesti,bc,3625
22111,Damienesti,bc,1940
22166,Oras Darmanesti,bc,14777
22237,Dealu Morii,bc,2832
22380,Dofteana,bc,11306
22460,Faraoani,bc,5561
22488,Filipeni,bc,2278
22576,Filipesti,bc,4681
22665,Gaiceana,bc,2894
22718,Ghimes-Faget,bc,4910
22781,Garleni,bc,7098
22834,Glavanesti,bc,3381
22898,Helegiu,bc,6767
22941,Horgesti,bc,5586
23047,Huruiesti,bc,2436
23127,Izvoru Berheciului,bc,1688
23207,Lipova,bc,3181
23289,Livezi,bc,5595
23350,Luizi-Calugara,bc,5361
23387,Magiresti,bc,4363
23449,Manastirea Casin,bc,5522
23494,Motoseni,bc,3462
23644,Negri,bc,2920
23715,Nicolae Balcescu,bc,10081
23797,Oituz,bc,9509
23868,Oncesti,bc,1671
23948,Orbeni,bc,3962
23975,Palanca,bc,3470
24034,Parava,bc,3399
24089,Parincea,bc,3911
24187,Pancesti,bc,4432
24276,Pargaresti,bc,4873
24338,Parjol,bc,6546
24427,Plopana,bc,3407
24524,Podu Turcului,bc,5128
24631,Poduri,bc,8151
24711,Racova,bc,3578
24766,Racaciuni,bc,8379
24837,Rachitoasa,bc,4909
24999,Rosiori,bc,2382
25068,Sascut,bc,10047
25148,Sanduleni,bc,4675
25228,Saucesti,bc,5422
25291,Scorteni,bc,3087
25362,Secuieni,bc,2308
25488,Solont,bc,3680
25521,Stanisesti,bc,4745
25629,Strugari,bc,2573
25692,Tamasi,bc,3101
25745,Tatarasti,bc,2485
25825,Targu Trotus,bc,5715
25861,Traian,bc,3170
25932,Ungureni,bc,3918
26029,Urechesti,bc,3766
26083,Valea Seaca,bc,4339
26118,Vultureni,bc,2101
26289,Zemes,bc,4927
26320,Sarata,bc,2225
26338,Buciumi,bc,3242
26346,Gioseni,bc,4203
26353,Odobesti,bc,2459
26361,Prajesti,bc,2335
26379,Itesti,bc,1499
26564,Municipiul Oradea,bh,222850
26582,Sanmartin,bh,10814
26653,Santandrei,bh,5726
26699,Oras Alesd,bh,11293
26742,Astileu,bh,3721
26804,Municipiul Beius,bh,11477
26840,Oras Stei,bh,7434
26877,Municipiul Marghita,bh,18252
26920,Oras Nucet,bh,2131
26975,Municipiul Salonta,bh,19401
27007,Oras Vascau,bh,2429
27070,Abram,bh,3110
27169,Abramut,bh,3136
27212,Auseu,bh,2982
27285,Avram Iancu,bh,3465
27329,Balc,bh,3341
27383,Batar,bh,5644
27436,Biharia,bh,4439
27506,Boianu Mare,bh,1332
27560,Borod,bh,4003
27631,Bors,bh,4167
27686,Bratca,bh,4980
27757,Brusturi,bh,3666
27846,Budureasa,bh,2702
27908,Buduslau,bh,2070
27935,Bulz,bh,2139
27971,Buntesti,bh,4457
28077,Cabesti,bh,1853
28139,Capalna,bh,1482
28193,Carpinet,bh,1835
28246,Cefa,bh,2365
28335,Ceica,bh,3545
28415,Cetariu,bh,2168
28497,Cherechiu,bh,2489
28530,Chislaz,bh,3173
28610,Ciuhoi,bh,2276
28665,Ciumeghiu,bh,4595
28709,Campani,bh,2410
28763,Cociuba Mare,bh,2929
28816,Copacel,bh,2162
28889,Cristioru De Jos,bh,1339
28941,Curatele,bh,2452
29001,Curtuiseni,bh,4003
29038,Derna,bh,2659
29092,Diosig,bh,7067
29154,Dobresti,bh,5456
29243,Draganesti,bh,2934
29341,Dragesti,bh,2607
29403,Finis,bh,3647
29467,Girisu De Cris,bh,3863
29519,Hidiselu De Sus,bh,3111
29573,Holod,bh,3207
29662,Husasau De Tinca,bh,2331
29724,Ineu,bh,4786
29760,Lazuri De Beius,bh,1580
29813,Lazareni,bh,3209
29902,Lugasu De Jos,bh,3653
29948,Lunca,bh,2744
30014,Madaras,bh,2800
30069,Magesti,bh,2723
30149,Nojorid,bh,5381
30229,Olcea,bh,2765
30274,Osorhei,bh,6811
30336,Pietroasa,bh,3184
30416,Pocola,bh,1459
30470,Pomezeu,bh,2800
30568,Popesti,bh,7991
30648,Rabagani,bh,2000
30719,Remetea,bh,2879
30773,Rieni,bh,3050
30844,Rosia,bh,2461
30871,Sacadat,bh,1800
30915,Oras Sacueni,bh,12685
30988,Salacea,bh,3111
31011,Salard,bh,4498
31057,Sambata,bh,1366
31128,Sarbi,bh,2495
31208,Spinus,bh,1166
31262,Suplacu De Barcau,bh,4557
31333,Simian,bh,4081
31379,Sinteu,bh,1131
31422,Soimi,bh,2529
31510,Suncuius,bh,3225
31565,Tarcea,bh,2748
31609,Tarcaia,bh,2060
31654,Tauteu,bh,4554
31716,Tileagd,bh,7071
31789,Tinca,bh,8357
31841,Tulca,bh,2731
31878,Tetchea,bh,3247
31921,Uileacu De Beius,bh,2056
31976,Vadu Crisului,bh,4046
32027,Oras Valea Lui Mihai,bh,11053
32045,Viisoara,bh,1329
32090,Varciorog,bh,2094
32153,Tamaseu,bh,2064
32161,Paleu,bh,2788
32179,Sannicolau Roman,bh,2266
32187,Rosiori,bh,3023
32195,Gepiu,bh,1853
32201,Toboliu,bh,2096
32394,Municipiul Bistrita,bn,93415
32483,Oras Beclean,bn,12335
32544,Oras Nasaud,bn,11805
32599,Oras Sangeorz-Bai,bn,11682
32633,Bistrita Bargaului,bn,4453
32660,Branistea,bn,3160
32704,Budacu De Jos,bn,3257
32768,Budesti,bn,1961
32811,Caianu Mic,bn,4316
32884,Cetate,bn,2895
32955,Ciceu-Giurgesti,bn,1571
33015,Chiochis,bn,2940
33122,Chiuza,bn,2223
33177,Cosbuc,bn,2034
33202,Dumitra,bn,5453
33248,Feldru,bn,7964
33275,Galatii Bistritei,bn,2524
33337,Ilva Mare,bn,2520
33364,Ilva Mica,bn,3499
33382,Josenii Bargaului,bn,5368
33435,Lechinta,bn,6254
33514,Lesu,bn,2947
33541,Livezile,bn,5101
33603,Lunca Ilvei,bn,3337
33621,Maieru,bn,8110
33658,Matei,bn,2621
33729,Magura Ilvei,bn,2177
33765,Mariselu,bn,2574
33845,Micestii De Campie,bn,1134
33881,Milas,bn,1284
33952,Monor,bn,1421
33989,Nimigea,bn,5421
34075,Nuseni,bn,2857
34155,Parva,bn,2594
34173,Petru Rares,bn,3823
34235,Prundu Bargaului,bn,6455
34262,Rebra,bn,2769
34280,Rebrisoara,bn,4968
34333,Rodna,bn,6449
34360,Romuli,bn,1798
34397,Salva,bn,2831
34422,Silivasu De Campie,bn,1015
34477,Sanmihaiu De Campie,bn,1420
34547,Spermezeu,bn,3775
34618,Sant,bn,3509
34645,Sieu,bn,2994
34690,Sieu-Magherus,bn,4537
34770,Sieu-Odorhei,bn,2367
34850,Sieut,bn,2651
34903,Sintereag,bn,3674
34985,Teaca,bn,5883
35054,Telciu,bn,6120
35090,Tiha Bargaului,bn,6644
35152,Tarlisua,bn,3475
35269,Uriu,bn,3715
35312,Urmenis,bn,1954
35429,Zagra,bn,3609
35731,Municipiul Botosani,bt,122433
35759,Curtesti,bt,5384
35839,Rachiti,bt,4868
35884,Stauceni,bt,3638
35946,Oras Darabani,bt,12792
36006,Municipiul Dorohoi,bt,31341
36060,Oras Saveni,bt,8103
36131,Albesti,bt,6968
36202,Avrameni,bt,3881
36300,Baluseni,bt,5070
36373,Braesti,bt,2116
36426,Broscauti,bt,3497
36453,Oras Bucecea,bt,5418
36499,Calarasi,bt,3621
36532,Concesti,bt,1891
36569,Copalau,bt,4383
36649,Cordareni,bt,1851
36676,Corlateni,bt,2194
36756,Corni,bt,6761
36809,Cotusca,bt,4932
36907,Cristesti,bt,4948
36952,Cristinesti,bt,3947
37011,Dersca,bt,3231
37057,Dangeni,bt,3039
37100,Dobarceni,bt,2643
37173,Draguseni,bt,2691
37217,Durnesti,bt,4055
37280,Oras Flamanzi,bt,11943
37324,Frumusica,bt,6096
37397,George Enescu,bt,3256
37459,Gorbanesti,bt,3534
37547,Havarna,bt,4659
37618,Hanesti,bt,2197
37672,Hiliseu-Horia,bt,3602
37734,Hlipiceni,bt,3674
37770,Hudesti,bt,6282
37823,Ibanesti,bt,3976
37850,Leorda,bt,2556
37912,Lunca,bt,4375
37958,Manoleasa,bt,3407
38063,Mihai Eminescu,bt,7881
38161,Mihaileni,bt,2660
38241,Mihalaseni,bt,2301
38321,Mileanca,bt,2781
38376,Mitoc,bt,1905
38456,Nicseni,bt,2685
38492,Paltinis,bt,3058
38544,Pomarla,bt,2695
38580,Prajeni,bt,3439
38633,Radauti-Prut,bt,3654
38679,Rauseni,bt,2750
38731,Ripiceni,bt,2074
38811,Roma,bt,3421
38848,Romanesti,bt,2114
38893,Santa Mare,bt,2819
38982,Suharau,bt,4729
39051,Sulita,bt,3133
39122,Sendriceni,bt,4211
39168,Oras Stefanesti,bt,5887
39220,Stiubieni,bt,2802
39266,Todireni,bt,3635
39328,Trusesti,bt,5564
39391,Tudora,bt,5179
39417,Ungureni,bt,6719
39532,Unteni,bt,2876
39612,Vaculesti,bt,2053
39658,Viisoara,bt,2005
39694,Varfu Campului,bt,3443
39738,Vladeni,bt,4984
39792,Vlasinesti,bt,2991
39836,Vorniceni,bt,4439
39872,Vorona,bt,7947
39942,Lozna,bt,2073
39959,Dimacheni,bt,1429
39967,Candesti,bt,2101
39975,Cosula,bt,3146
39983,Blandesti,bt,2099
40035,Adaseni,bt,1469
40198,Municipiul Brasov,bv,290955
40214,Oras Ghimbav,bv,5978
40241,Municipiul Codlea,bv,26090
40278,Municipiul Fagaras,bv,39990
40303,Oras Predeal,bv,5177
40367,Oras Rasnov,bv,17715
40394,Oras Rupea,bv,6169
40438,Municipiul Sacele,bv,36059
40465,Oras Victoria,bv,8843
40492,Oras Zarnesti,bv,26632
40526,Apata,bv,3550
40544,Beclean,bv,1709
40606,Bod,bv,4717
40633,Bran,bv,5310
40688,Budila,bv,4614
40704,Bunesti,bv,2687
40768,Cata,bv,2766
40820,Cincu,bv,1997
40857,Comana,bv,3073
40900,Cristian,bv,5015
40928,Dumbravita,bv,5200
40955,Feldioara,bv,7414
40991,Fundata,bv,785
41033,Halchiu,bv,4806
41088,Harman,bv,6203
41113,Harseni,bv,2259
41177,Hoghiz,bv,5225
41248,Homorod,bv,2590
41284,Jibert,bv,2735
41346,Lisa,bv,1809
41382,Maierus,bv,3211
41417,Mandra,bv,2962
41471,Moieciu,bv,4672
41541,Ormenis,bv,2112
41578,Parau,bv,2218
41621,Poiana Marului,bv,3369
41667,Prejmer,bv,9620
41701,Racos,bv,3500
41738,Recea,bv,3248
41818,Sercaia,bv,2924
41854,Sinca,bv,3666
41925,Sanpetru,bv,5761
41943,Soars,bv,2153
42003,Tarlungeni,bv,9297
42058,Teliu,bv,4458
42076,Ticusu,bv,1076
42101,Ucea,bv,2360
42156,Ungra,bv,2284
42183,Vama Buzaului,bv,3547
42236,Vistea,bv,2221
42307,Voila,bv,3152
42398,Vulcan,bv,5007
42449,Sinca Noua,bv,1596
42456,Crizbav,bv,2790
42464,Sambata De Sus,bv,1527
42472,Holbav,bv,1428
42480,Dragus,bv,1102
42498,Augustin,bv,2023
42682,Municipiul Braila,br,210699
42708,Chiscani,br,5793
42753,Oras Faurei,br,4076
42771,Surdila-Greci,br,1519
42824,Baraganul,br,3194
42842,Bertestii De Jos,br,3118
42913,Bordei Verde,br,2696
42968,Ciocile,br,2630
43019,Ciresu,br,3088
43073,Dudesti,br,3735
43117,Frecatei,br,1417
43180,Galbenu,br,3167
43242,Gemenele,br,1838
43279,Gradistea,br,2228
43313,Gropeni,br,3415
43331,Oras Ianca,br,11089
43411,Oras Insuratei,br,7132
43466,Jirlau,br,3227
43493,Marasu,br,2893
43563,Maxineni,br,3483
43625,Mircea Voda,br,3319
43652,Movila Miresii,br,4221
43698,Racovita,br,1117
43732,Ramnicelu,br,2031
43787,Romanu,br,1840
43812,Rosiori,br,2726
43867,Salcia Tudor,br,2602
43929,Scortaru Nou,br,1356
43992,Silistea,br,1876
44060,Stancuta,br,3462
44113,Surdila-Gaiseanca,br,2458
44140,Sutesti,br,4681
44177,Tichilesti,br,3704
44202,Traian,br,3388
44257,Tudor Vladimirescu,br,2183
44300,Tufesti,br,5217
44328,Ulmu,br,3800
44355,Unirea,br,2493
44391,Vadeni,br,4127
44435,Victoria,br,3715
44462,Visani,br,2478
44505,Viziru,br,6503
44532,Zavoaia,br,3219
44560,Cazasu,br,3427
44818,Municipiul Buzau,bz,135662
44845,Municipiul Ramnicu Sarat,bz,40853
44863,Amaru,bz,2418
44934,Balta Alba,bz,2488
44989,Balaceanu,bz,1641
45003,Beceni,bz,4432
45101,Berca,bz,8756
45245,Bisoca,bz,2769
45334,Blajani,bz,1036
45361,Boldu,bz,2269
45389,Bozioru,bz,1085
45496,Bradeanu,bz,2479
45539,Braesti,bz,2472
45619,Breaza,bz,2715
45673,Buda,bz,3063
45753,Calvini,bz,4736
45815,C.a. Rosetti,bz,3667
45888,Canesti,bz,810
45959,Catina,bz,2500
46019,Cernatesti,bz,3724
46108,Chiliile,bz,567
46180,Chiojdu,bz,3448
46251,Cilibia,bz,1879
46313,Cislau,bz,4775
46377,Cochirleanca,bz,5504
46439,Colti,bz,1047
46484,Costesti,bz,4955
46554,Cozieni,bz,2010
46769,Galbinasi,bz,4266
46803,Gheraseni,bz,3409
46830,Ghergheasa,bz,2281
46867,Glodeanu Sarat,bz,4238
46910,Glodeanu-Silistea,bz,3749
47006,Grebanu,bz,5417
47079,Gura Teghii,bz,3472
47159,Largu,bz,1565
47186,Lopatari,bz,3953
47300,Luciu,bz,2855
47337,Magura,bz,2153
47373,Maracineni,bz,8832
47417,Margaritesti,bz,647
47453,Merei,bz,6773
47578,Mihailesti,bz,2117
47630,Manzalesti,bz,2475
47774,Movila Banului,bz,2589
47818,Murgesti,bz,897
47854,Naeni,bz,1780
47916,Oras Nehoiu,bz,11212
48021,Odaile,bz,854
48138,Padina,bz,4107
48165,Pardosi,bz,400
48227,Panatau,bz,2417
48325,Oras Patarlagele,bz,7751
48487,Pietroasele,bz,3296
48557,Parscov,bz,5643
48682,Podgoria,bz,3206
48744,Oras Pogoanele,bz,7553
48771,Posta Calnau,bz,6145
48842,Puiesti,bz,3888
48922,Racoviteni,bz,1315
48968,Ramnicelu,bz,4896
49019,Robeasca,bz,1094
49046,Rusetu,bz,3834
49073,Sageata,bz,4776
49153,Sahateni,bz,3397
49206,Sapoca,bz,3428
49233,Sarulesti,bz,1363
49313,Scortoasa,bz,2823
49439,Scutelnici,bz,2322
49484,Siriu,bz,3233
49545,Smeeni,bz,6636
49625,Stalpu,bz,3128
49643,Tisau,bz,4601
49769,Topliceni,bz,4365
49849,Tintesti,bz,4536
49894,Ulmeni,bz,3156
49956,Vadu Pasii,bz,9714
50022,Valea Ramnicului,bz,5681
50068,Valea Salciei,bz,746
50102,Vernesti,bz,9101
50228,Vintila Voda,bz,2984
50326,Viperesti,bz,3538
50399,Valcelele,bz,1494
50415,Zarnesti,bz,5076
50479,Ziduri,bz,4427
50549,Unguriu,bz,2303
50564,Florica,bz,1351
50790,Municipiul Resita,cs,88613
50889,Oras Anina,cs,9343
50923,Oras Baile Herculane,cs,5167
50969,Oras Bocsa,cs,19160
50987,Ocna De Fier,cs,724
51010,Municipiul Caransebes,cs,30527
51056,Oras Moldova Noua,cs,13560
51118,Oras Oravita,cs,13361
51207,Oras Otelu Rosu,cs,12695
51243,Armenis,cs,2433
51305,Bania,cs,1748
51332,Bautar,cs,2573
51387,Berliste,cs,1258
51449,Berzasca,cs,2772
51500,Berzovia,cs,3940
51546,Bolvasnita,cs,1391
51573,Bozovici,cs,3023
51626,Brebu,cs,1155
51662,Brebu Nou,cs,298
51699,Buchin,cs,2034
51751,Bucosnita,cs,2793
51804,Carasova,cs,2976
51840,Carbunari,cs,983
51877,Constantin Daicoviciu,cs,2789
51948,Ciclova Romana,cs,1605
51984,Ciuchici,cs,1060
52035,Ciudanovita,cs,680
52062,Copacele,cs,1136
52115,Cornea,cs,1767
52160,Cornereva,cs,2966
52570,Dalboset,cs,1676
52650,Doclin,cs,1940
52696,Dognecea,cs,2151
52721,Domasnea,cs,1309
52758,Ezeris,cs,1304
52785,Farliug,cs,1739
52856,Forotic,cs,1784
52909,Garnic,cs,1447
52936,Glimboca,cs,1873
52954,Goruia,cs,791
52990,Gradinari,cs,2058
53023,Iablanita,cs,2144
53069,Lapusnicel,cs,993
