Tara,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Afghanistan,498,448,540,153,706,134,19,0.3,1.1,1,5.9,26,24.8,36,208,11
Albania,149,113,183,154,537,64,11,0,4.4,0.4,0.1,52.8,10.6,61,25,0
Algeria,153,131,175,103,314,85,12,0,5,0.5,0.9,48,13.7,61,48,1
Andorra,86,48,122,126,125,31,,,,,,,,72,22,0
Angola,483,435,531,179,486,231,19,2.2,1.4,8.3,4.8,22.2,24.8,33,251,1
Antigua and Barbuda,164,130,199,144,343,35,2.4,1,2.4,0,0,25.3,1.5,62,6,0
Argentina,136,92,179,142,212,52,1.3,0.2,7.7,0,0,56.5,3.4,65,49,0
Armenia,157,103,219,146,498,39,11,0.2,5.8,0.5,0.1,48.4,11.8,61,71,0
Australia,76,55,97,127,140,35,0.1,0,10.6,0,0,55.6,1.2,73,6,0
Austria,95,63,126,127,204,38,0,0,8.4,0,0,56,0.7,71,14,0
Azerbaijan,207,154,262,113,613,29,15,0,1.3,1,0.1,44.1,18.4,57,75,0
Bahamas,192,142,243,112,222,73,0.8,5.3,13,0,0,43.5,5.3,64,44,0
Bahrain,105,89,115,127,312,37,0.7,0.2,10.2,0,0,46,1.4,64,47,0
Bangladesh,254,258,251,111,428,101,20,0,2.7,0.7,2,45.4,17.6,54,239,0
Barbados,129,94,166,135,245,30,0,1.7,1.7,0,0,63.8,0,66,12,0
Belarus,242,125,354,143,592,154,1.5,3.2,18.1,0,0,37.5,9,61,73,0
Belgium,100,68,130,148,162,45,0.3,0.5,9.7,0,0,50.1,0.8,71,16,0
Belize,199,150,243,147,317,79,3.5,1,9.8,0,0,49,6.9,60,49,0
Benin,335,314,358,154,432,116,17,2.2,2.1,27.2,5.3,25,21.1,44,85,0
Bhutan,251,211,284,112,441,112,21,0.7,2.4,0.8,1.2,38.9,18.8,53,128,0
Bolivia,231,200,263,256,260,80,14,0.1,5.1,0.7,0.1,37.9,17.1,54,233,0
Bosnia and Herzegovina,117,79,157,121,492,43,0.6,0,3.7,0,0,52.7,2.5,64,63,0
Botswana,570,551,593,124,338,72,1.1,53.8,3.3,0,0.1,40.3,1.4,36,600,0
Brazil,192,134,248,142,341,81,12,0.3,3.2,0.5,0,38,13.2,60,60,0
Brunei Darussalam,110,95,122,114,210,33,1.1,0,9.2,0,0,63.7,0.7,65,62,0
Bulgaria,160,97,222,125,554,42,2.3,0,5.2,0,0,47.3,16.1,65,44,3
Burkina Faso,414,377,459,162,459,149,19,4,1.5,20.3,3.4,18.3,23.3,36,181,0
Burundi,456,432,489,146,439,301,18,8,1.8,8.4,3,23.3,22.8,35,318,0
Cambodia,307,238,383,148,392,72,17,2,1.7,0.9,2.3,29.8,20.6,48,530,0
Cameroon,384,358,412,150,436,118,17,7.2,2.2,22.8,4.1,24.8,21.5,41,166,0
Canada,81,61,100,138,141,34,0.2,0,7.2,0,0,58.5,1.1,72,6,0
Cape Verde,213,163,284,127,356,39,12,3.7,3.5,4.3,4.4,25.9,13.3,61,166,0
Central African Republic,434,424,448,154,445,146,15,12.4,2,18.5,6.5,27.2,18.7,37,299,0
Chad,424,390,457,156,443,131,18,4.1,1.8,22.3,7,24,22.8,41,259,0
Chile,103,69,137,137,165,50,0.5,0.1,9.1,0,0,52.8,6.2,67,23,0
China,135,106,160,148,291,79,12,0.1,8.4,0.4,0.4,49.2,13.4,64,105,0
Colombia,174,106,241,117,240,141,10,1.4,4.6,0.2,0,62.1,10.4,62,51,0
Comoros,242,196,287,128,381,83,14,3.7,3.4,19.4,5.9,37.3,16.3,55,56,0
Congo,410,389,433,134,393,147,11,9.3,2.6,25.7,6.6,30.9,13.6,46,349,0
Cook Islands,149,116,179,69,326,38,0.7,0,0.2,0,0.5,96.1,1.1,62,18,0
Costa Rica,107,79,133,125,185,55,3,0.2,3.9,0,0,58.7,4,67,17,0
Cote d'Ivoire,399,355,434,160,436,179,15,5.6,2.2,20.5,2.5,34.9,19.6,39,364,0
Croatia,132,74,187,167,356,48,0.3,0,8.5,0,0,65.3,1.3,67,49,0
Cuba,115,90,140,129,215,54,1.3,0,7.9,0,0,49.9,4.1,68,14,0
Cyprus,82,56,107,94,354,33,3.2,0.1,5.4,0,0,61.5,1.7,68,6,0
Czech Republic,124,76,172,177,315,50,0.2,0,12.5,0,0,48.9,3.6,68,15,0
Democratic People's Republic of Korea,200,166,232,102,371,65,19,0.7,3,0.7,0.8,41.8,15.2,59,178,0
Democratic Republic of the Congo,453,394,511,161,465,273,18,3.7,1.6,16.9,4.7,25.7,23.1,37,339,0
Denmark,100,77,122,167,182,40,0.3,0,5.5,0,0,73.8,0.9,70,9,0
Djibouti,325,277,371,116,533,92,17,2.7,1.8,0.8,4.4,27,20.4,43,712,0
Dominica,152,116,189,144,257,45,0,0,0,0,0,99.9,0,64,17,0
Dominican Republic,185,130,237,131,381,59,12,3.9,2.9,0.6,0.1,47.2,13,60,105,2
Ecuador,185,141,228,129,244,89,11,1.1,4.6,0.5,0.1,49.8,12,62,152,0
Egypt,200,162,237,84,560,35,13,0,2.1,0.4,0.1,44.3,14.6,59,31,5
El Salvador,209,144,275,102,223,101,12,1.7,3.7,0.5,0,39.9,13.4,60,65,0
Equatorial Guinea,420,392,450,155,438,144,14,7.4,2.5,24,7.4,27.5,17.3,46,222,0
Eritrea,264,228,308,133,398,92,16,6.2,3,13.6,2.5,27.4,18.6,50,85,0
Estonia,218,120,318,150,435,144,1.4,0,17.9,0,0,54.3,2.1,64,66,0
Ethiopia,355,319,392,147,435,104,17,3.8,1.7,6.1,4.2,30.2,22.3,41,328,1
Fiji,240,183,292,86,470,40,11,0.2,2.9,0,0,41.2,9.2,59,28,0
Finland,104,63,143,115,201,60,0.8,0,6.9,0,0,55.1,1.2,71,10,0
France,100,61,138,142,118,48,0.9,0,8.3,0,0,52.6,0.6,72,16,0
Gabon,291,254,325,158,410,103,8.8,10.1,2.5,28.3,4.4,35.1,10.7,51,254,0
Gambia,290,252,328,144,413,109,12,1.3,2.6,29.4,2.5,36.6,15.5,50,226,0
Georgia,151,89,217,91,584,25,12,0,1.2,0.3,0.1,52.1,12.5,64,82,1
Germany,94,63,124,141,211,29,0.2,0.1,6.6,0,0,50.7,0.7,72,11,0
Ghana,298,268,328,138,404,97,12,5.7,3,33,2.9,28.5,14.6,50,210,0
Greece,82,48,116,132,258,35,0,0,5.8,0,0,63,2.6,71,21,0
Grenada,246,227,266,199,448,51,1.6,2.6,5.2,0,0,43.8,9.5,59,5,0
Guatemala,238,185,292,93,188,98,13,2.7,1.5,0.4,0.1,37.3,15,57,83,0
Guinea,364,322,405,156,432,147,17,2.3,1.4,24.5,5.5,28.8,20.9,45,198,0
Guinea-Bissau,414,355,472,159,449,138,19,2.6,1.4,21,3.4,24.1,23.4,41,193,0
Guyana,341,294,393,86,526,97,21,7.7,6.2,0.7,0,33.7,5.2,55,101,0
Haiti,306,255,358,112,402,38,17,8.3,0.4,0.7,0.5,26.4,20.2,44,354,7
Honduras,218,158,276,139,348,66,12,6.3,4.2,0.4,0,43.1,13.8,58,89,0
Hungary,193,114,271,201,364,67,0.1,0,5.6,0,0,56.9,3.9,65,36,0
Iceland,75,57,92,136,164,34,0,0,4.9,0,0,61,0,73,4,0
India,258,223,289,109,428,117,20,0.7,2.2,0.9,3.7,45.2,18.5,53,168,268
Indonesia,232,217,248,132,361,87,18,0,2.8,0.5,4.7,37.6,14.4,58,270,0
Iran (Islamic Republic of),193,148,238,113,466,133,5.5,0.1,12.8,0.2,0,62.9,6.4,58,31,0
Iraq,195,153,234,112,508,141,13,0.3,5.7,0.7,0.5,50.8,17.6,50,56,0
Ireland,96,70,120,151,214,35,0,0,2.9,0,0.5,61.1,1.3,70,14,0
Israel,84,56,112,133,136,30,0.6,0,5.9,0,0,52.8,0.4,71,9,0
Italy,76,51,101,134,174,29,0,0.2,4,0,0,62,1,73,9,0
Jamaica,160,138,182,151,326,12,9.6,6.1,2.4,0,0,52.1,9.3,65,8,0
Japan,73,48,98,119,106,39,0.4,0,11.6,0,0.2,40,3.9,75,34,0
Jordan,161,123,195,144,384,102,11,0.1,2.3,0.3,0,55.4,11.7,61,6,0
Kazakhstan,308,194,422,167,713,160,15,0,6.8,0.8,0.1,43.1,16.9,56,141,0
Kenya,449,417,483,139,401,95,17,14.6,2.7,13.6,3.2,24.2,19.9,44,420,0
Kiribati,239,191,283,52,273,22,22,0,1.3,0.7,2.6,22.1,11.5,54,420,0
Kuwait,78,62,87,78,309,34,0.7,0,7.9,0,0,35.5,4.4,67,28,0
Kyrgyzstan,249,170,325,106,602,90,14,0,6.6,0.9,0.1,43.8,16.7,55,135,0
Lao People's Democratic Republic,328,312,345,150,476,142,16,0,2.3,0.7,5.9,34.5,19.1,47,162,0
Latvia,218,117,320,156,482,132,0,0,11.3,0,0,53.2,1.2,63,83,0
Lebanon,174,142,208,90,453,98,1,0,11,0,0,64.9,1.1,60,18,0
Lesotho,521,434,630,139,404,88,3.9,56.2,2.2,0,0.1,32.8,4.7,31,553,0
Liberia,450,405,493,169,485,270,17,3.6,1.7,18.9,6,29.1,23,35,287,0
Libyan Arab Jamahiriya,154,115,184,79,411,55,8.4,0.1,2.6,0,0.1,55.6,8.5,64,23,0
Lithuania,197,103,293,161,391,136,0.3,0,17.4,0,0,41.4,5.3,63,77,0
Luxembourg,95,67,121,134,177,51,0,0,14.9,0,0,54,1.1,72,14,0
Madagascar,292,257,327,147,430,112,17,1.3,2.4,20.1,5,25.6,20.7,49,218,1
Malawi,504,463,544,150,430,105,18,14,1.7,14.1,0.3,21.7,22.6,35,425,0
Malaysia,158,115,196,139,274,50,5.4,1.4,7.7,0.1,0.9,61.8,4,63,109,0
Maldives,172,161,182,123,484,70,20,0.7,2.5,0.6,0.1,45.1,17.5,58,69,0
Mali,422,387,469,166,456,145,18,1.6,1.4,16.9,6.1,25.9,23.9,38,288,0
Malta,72,54,90,124,214,24,0,0,6,0,0,66.7,0,71,7,0
Marshall Islands,327,298,354,125,526,62,14,0.3,3.1,0,0.5,37.1,13.5,55,248,0
Mauritania,275,238,318,158,451,138,16,0.3,1.9,12.2,1.7,39.4,22.3,45,278,1
Mauritius,172,121,222,79,434,42,1.2,0,5.2,0,0,66,3.9,62,24,0
Mexico,136,99,172,88,163,58,5.1,0.1,7,0,0,52.5,8.5,65,32,0
Micronesia (Federated States of),201,183,219,93,410,39,8,0.3,2.7,0,1.5,49.2,11.3,58,128,0
Monaco,97,60,133,120,115,41,,,,,,,,73,3,0
Mongolia,262,198,322,306,488,96,15,0.3,4.4,1,0.3,34.1,17.1,56,199,0
Montenegro,140,98,180,,,,,,,,,,,,,0
Morocco,135,106,164,67,411,48,12,0.3,4,0.4,0.2,44.7,14,60,112,0
Mozambique,418,384,454,124,371,66,17,12.9,1,18.9,0.3,29,21.2,37,383,0
Myanmar,281,225,336,115,432,105,21,0.9,2,9,2.4,39.1,19.3,52,171,0
Namibia,332,295,373,146,385,93,2.5,53,3,0,0.1,38.5,3,43,664,0
Nauru,395,313,463,138,666,132,38,0,19.4,0,5.5,7,30.3,55,119,0
Nepal,300,296,306,118,436,108,21,0.2,2.3,0.8,2.7,43.5,18.5,52,199,0
Netherlands,84,67,100,155,171,23,0,0,5.2,0,0,63.1,1.1,71,9,0
New Zealand,86,67,105,139,175,37,0.2,0,11.4,0,0,48.3,2.7,71,11,0
Nicaragua,166,130,200,120,305,73,12,0.5,3,0.4,0,42.4,13.7,61,81,0
Niger,500,465,526,169,456,163,20,0.6,1.4,14.3,7.3,16.7,25.1,36,153,6
Nigeria,422,395,450,157,452,132,16,5,1.9,24.1,6.3,26.1,20.1,42,269,56
Niue,176,83,255,74,339,39,,,,,,,,60,48,0
Norway,85,61,107,137,181,35,0.3,0,6.2,0,0,54,1.4,72,6,0
Oman,142,97,168,105,409,41,8.1,0.3,4.1,0.1,0,42.3,7.2,64,12,0
Pakistan,218,205,230,107,425,99,14,0,2.1,0.7,2.4,55.7,19.3,53,181,119
Palau,218,182,252,92,396,39,9.7,0.3,2.5,0,0.7,47,12.4,60,58,0
Panama,112,85,139,108,182,49,11,2.4,3.8,0.2,0,42.4,10.8,66,53,0
Papua New Guinea,286,253,315,118,442,104,15,0.3,2.3,0.8,2.1,35.4,18.5,52,250,0
Paraguay,132,103,158,141,291,57,11,0.2,3.8,0.3,0.1,53.5,11.9,62,72,0
Peru,177,149,204,175,190,69,12,0.9,9.5,0.4,0,38.5,13.6,61,225,0
Philippines,223,160,281,91,336,58,12,0,2.7,0.4,1.2,36.9,13.4,59,305,3
Poland,152,86,216,180,324,53,0.1,0,5.6,0,0,59.1,2.7,66,35,0
Portugal,111,66,155,140,208,33,0.1,0.1,9,0.1,0,47.9,1.8,69,46,0
Qatar,78,77,80,75,340,40,8.4,0.1,5.2,0,0,29.6,7.7,65,66,0
Republic of Korea,114,62,163,169,186,67,0.4,0,11.2,0,0.2,71.5,1.8,68,72,0
Republic of Moldova,230,155,310,116,619,97,2,0,13.3,0,0,46.1,15.5,60,138,0
Romania,173,106,237,141,479,56,2.5,0.1,8.6,0,0,41.4,27.1,63,136,0
Russian Federation,313,161,451,152,688,217,2.5,0.4,12,0,0,40.8,6.3,58,113,0
Rwanda,512,499,531,150,425,126,19,5,1.8,4.6,1.6,21.7,23.2,38,344,0
Saint Kitts and Nevis,182,150,214,108,420,45,14,0,7.9,0,0,2.8,0,62,12,0
Saint Lucia,161,117,205,129,304,52,1.3,1.3,4.7,0,0,30.9,1.3,63,18,0
Saint Vincent and the Grenadines,214,165,259,155,315,55,0.5,2.9,4,0,0,49.6,10.5,61,31,0
Samoa,220,203,235,95,417,40,9.7,0.3,2.9,0.1,0.1,49.2,10.2,60,23,0
San Marino,57,39,74,140,223,22,,,,,,,,73,7,0
Sao Tome and Principe,243,212,277,133,396,87,16,3.7,3.5,0.6,4.8,32.1,21.2,54,114,0
Saudi Arabia,179,139,208,109,405,72,6.2,0.1,14.5,0.2,0,40.2,6.6,61,47,0
Senegal,293,254,331,146,426,125,17,1,2.6,27.6,8.1,22.8,20.7,48,238,0
Serbia,159,106,210,,,,,,,,,,,,,0
Seychelles,175,99,248,131,336,69,0,0,12.3,0,0,27.2,10.1,61,37,0
Sierra Leone,582,477,670,181,515,250,20,1.3,1.2,12.4,5.3,21.9,25.5,29,371,0
Singapore,77,56,97,128,171,23,0.4,0,7.1,0,0,40,9,70,37,0
Slovakia,147,79,215,170,371,50,1.4,0,6,0,0,52.7,9.4,66,26,0
Slovenia,121,72,167,160,228,59,0,0,5.9,0,0,64.4,0,69,23,0
Solomon Islands,179,151,205,90,409,37,8.8,0.3,2.5,0.1,0.5,49.5,9.5,56,181,0
Somalia,364,314,413,143,580,235,19,0.8,2.6,4.5,6.8,23.3,23.9,37,255,7
South Africa,386,324,446,154,410,120,0.8,57.1,5,0,0,35.1,0.9,44,576,0
Spain,86,49,122,131,137,31,0.1,0,6.5,0,0,52.4,1.3,73,35,0
Sri Lanka,217,117,308,118,314,82,14,0,5.4,0.4,1.7,59.5,8.5,62,60,0
Sudan,293,257,328,112,499,163,13,2.9,4.6,21.2,5.4,31.4,15.5,49,213,1
Suriname,227,179,276,133,421,86,13,2.5,5.8,2.4,0.3,40.5,11.5,59,75,0
Swaziland,456,416,500,162,364,72,9.6,47,3.8,0.2,0.2,26.8,11.8,34,801,0
Sweden,72,56,87,116,176,30,0,0,3.4,0,0,59.4,0.8,73,5,0
Switzerland,76,54,99,116,142,32,0.2,0,7.5,0,0,62.1,0.7,73,9,0
Syrian Arab Republic,162,130,194,60,410,49,9.6,0,3.4,0.2,0,42.7,9.9,62,49,0
Tajikistan,246,200,288,90,753,64,16,0,2.6,0.8,0.2,29.7,19.9,55,117,0
Thailand,215,155,273,129,199,74,16,6.2,4.8,0.3,0.1,44.9,11.5,60,142,0
The former Yugoslav Republic of Macedonia,144,90,195,145,504,74,5,0,2.5,0,0,63.1,4.3,63,36,0
Timor-Leste,256,211,300,118,441,112,22,0.7,1.9,0.4,3.5,32.3,19.6,50,556,0
Togo,333,291,375,147,427,117,14,5.8,2.5,25.3,6.6,29,17.1,45,364,0
Tonga,188,169,209,85,363,29,10,0,2,1.3,1.8,57.2,7.3,62,28,0
Trinidad and Tobago,205,157,253,121,379,50,1.3,4.7,3.1,0,0,46.3,2,62,10,0
Tunisia,147,119,176,78,417,72,7,0,9.7,0.2,0,52.7,7.6,62,25,0
Turkey,152,117,187,95,542,42,12,0,4,0.5,0.3,49.1,14,62,31,0
Turkmenistan,277,207,346,99,844,74,16,0,4.8,0.9,0.1,37.8,18.8,54,92,0
Tuvalu,257,246,268,129,541,69,13,0.3,3,0,1.2,40,13.5,53,362,0
Uganda,576,559,597,146,422,154,17,7.7,2.2,23.1,3,23.6,21.1,43,340,0
Ukraine,257,136,377,139,637,135,1.2,4.9,14.5,0,0,42.3,6.3,59,84,0
United Arab Emirates,95,77,101,100,369,72,6.3,0.1,15,0,0,55.7,4.7,64,18,0
United Kingdom,88,67,108,143,182,26,0.9,0,4.4,0,0,59.1,2.2,71,12,0
United Republic of Tanzania,513,498,532,151,435,115,17,9.3,2,22.7,1.3,26.9,21.1,40,339,0
United States of America,114,83,144,134,188,47,0.1,0.1,10.3,0,0,56.9,1.3,69,6,0
Uruguay,135,90,181,170,208,55,2.3,0.2,7,0,0,48.1,5.4,66,30,0
Uzbekistan,202,151,252,74,663,50,15,0,7,0.8,0.1,38.1,16.8,59,93,0
Vanuatu,202,180,222,92,409,38,12,0.3,2.7,0.6,0.3,42.3,13,59,70,0
Venezuela,143,98,185,107,241,90,9.9,0.2,6.5,0,0,52.6,5.9,64,42,0
Viet Nam,169,135,202,123,318,72,10,1,4.9,0.4,3.4,56.4,11.5,61,183,0
Yemen,260,228,291,108,553,102,16,0.3,3.7,7.5,2.2,33.3,19.8,49,101,0
Zambia,643,602,686,122,359,58,18,16.1,1,19.4,1.2,22.9,21.8,35,602,3
Zimbabwe,694,653,736,122,347,103,12,40.6,1.2,0.2,2.9,28.1,14.7,34,644,0
