Judet,Superior,Liceal,Gimnazial,Primar,FaraScoala,PersoaneAnalfabete
ab,39697,78171,79505,42171,8328,3194
ar,53019,90593,115844,54017,8512,3920
ag,77707,150472,129429,72343,11382,4368
bc,55431,105090,155383,88953,19306,8806
bh,72214,133992,131037,67461,18166,3804
bn,26144,48419,87274,41865,8379,3902
bt,25497,69747,119289,73367,14669,6281
br,31522,60281,88961,46437,10596,5321
bv,89606,135797,108744,44807,11279,3505
b,577122,519306,265426,114285,15006,3342
bz,36595,84595,121314,75274,14703,6817
cl,77707,150472,129429,72343,11382,4368
cs,29142,64632,87329,39089,6663,2688
cj,131030,183498,134648,62934,13879,4873
ct,99338,168189,160050,75405,17785,8106
cv,18197,45842,57219,24166,7271,4024
db,46022,120706,131920,72932,16587,8093
dj,85575,156116,146329,96202,19204,8106
gl,56463,99574,138346,78928,18359,8284
gr,17169,49526,91114,52594,12771,10161
gj,38875,87800,77366,40091,8238,3906
hr,26508,80404,81969,31871,7329,3228
hd,51789,100453,98492,50062,7570,3324
il,19137,47595,72442,47546,14339,8082
is,100688,145810,181176,112161,21319,9051
if,56539,83034,93196,46974,11317,6344
mm,48215,101950,144101,56287,13173,4234
mh,25694,60963,69441,37843,9274,4876
ms,57771,114689,131626,69608,16538,8498
nt,39443,73997,137000,72751,12078,4464
ot,33520,93733,107366,73479,13877,5566
ph,93938,170797,170140,99493,17113,7075
sj,24524,49388,58405,29705,7469,3669
sm,30589,74274,105871,34555,11438,4655
sb,56005,85790,90631,38917,8462,2753
sv,51590,106808,194971,87395,16869,5696
tr,24605,75139,99803,75861,15577,9226
tm,119213,170505,161880,61081,14397,5854
tl,17097,40026,59490,29981,8153,4343
vl,40384,87613,89019,50757,10125,3743
vs,24412,60103,113813,74093,14928,7467
vn,27333,60923,97753,58207,12969,6637